"행정구역(읍면)별","작물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"줄포면","미곡","생산량[M/T]","M/T","3618.9","3731.9","3246.9","3238","3401.1","3383","3202","3435.2","2916.8","2574.2","2382.5","2347.6","2452.3",
"줄포면","맥류","면적[㏊]","㏊","17.1","10.6","10.6","9","9.5","7.2","7.1","16.6","9","2","8.5","8.5","9",
"줄포면","맥류","생산량[M/T]","M/T","55","42.3","41.8","36.5","22.4","23.6","22.5","50.8","30.5","8","42.8","42.4","50.2",
"줄포면","잡곡","면적[㏊]","㏊","37.5","34.3","33.8","37.5","38.3","38.2","39.1","4.8","5.1","4.9","4.6","2.6","2.1",
"줄포면","잡곡","생산량[M/T]","M/T","64.7","54.8","54.5","60","70","69.2","57.6","5","7.7","7.6","6.5","4.2","2.6",
"줄포면","두류","면적[㏊]","㏊","81","78.8","80.2","89","89.7","56.4","56.4","26","80.1","6","10","10.7","2.7",
"줄포면","두류","생산량[M/T]","M/T","182","172.3","179.1","142.4","170.5","148.7","148.7","46.6","137.1","12.8","30.9","32.8","6.7",
"줄포면","서류","면적[㏊]","㏊","24","25.6","6","6","6","5.9","5.9","5.8","5.8","5.8","5.8","6.5","6",
"줄포면","서류","생산량[M/T]","M/T","523","523","95","94","94","91.5","91.5","74.1","74.1","74.1","72.3","75.3","75",
"위도면","합계","면적[㏊]","㏊","15.4","14.6","12","12.9","13.1","13.5","11.4","3","3.9","3.5","3","2.3","2.2",
"위도면","합계","생산량[M/T]","M/T","71.3","65","30.4","30.8","35.9","33.2","18.7","15.6","19.7","18","16.1","13.3","13.4",
"위도면","미곡","면적[㏊]","㏊","5","3","3","3","3","3",".8",".7","1.5","1.2","1.2","1.2","1.1",
"위도면","미곡","생산량[M/T]","M/T","24","15","15","15","16.2","16.2","4.5","3.9","8.3","6.6","6.2","5.8","5.9",
"위도면","맥류","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","맥류","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","잡곡","면적[㏊]","㏊","4","4","4","4.4","4.5","4.5","4.6",".4",".5",".4",".4",".4",".4",
"위도면","잡곡","생산량[M/T]","M/T","6.2","6.2","6","7","9","9","6.2","1.1",".6",".6",".4",".4",".4",
"위도면","두류","면적[㏊]","㏊","5","5","5","5.5","5.6","6","6","1.2","1.2","1.2",".7","-","-",
"위도면","두류","생산량[M/T]","M/T","10.3","9","9.4","8.8","10.7","8","8","1.7","1.9","1.9",".8","-","-",
"위도면","서류","면적[㏊]","㏊","1.4","2.6","-","-","-","-","-",".7",".7",".7",".7",".7",".7",
"위도면","서류","생산량[M/T]","M/T","30.8","34.8","-","-","-","-","-","8.9","8.9","8.9","8.6","7.1","7.1",
