"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"성덕면","겉보리","단위생산량[㎏/10a]","㎏/10a","401","490","500","500","450","450","460","457","826.2","321","321","330",
"성덕면","쌀보리","면적[㏊]","㏊","102","135.7","184.4","184.4","171","171","186.2","161","176.2","394.2","385","385",
"성덕면","쌀보리","생산량[M/T]","M/T","512","681","922","922","795.2","795.2","865.8","799","952.7","1328.5","1297.5","1270.5",
"성덕면","쌀보리","단위생산량[㎏/10a]","㎏/10a","502","502","500","500","465","465","465","442","540.7","337","337","330",
"성덕면","밀","면적[㏊]","㏊","55.4","55.4","23.4","23.4","24","20","16.8","5","50.8","21","39.8","39.8",
"성덕면","밀","생산량[M/T]","M/T","210","210","117","117","86.4","86.4","58.8","16","169.6","88.2","155.8","159.2",
"성덕면","밀","단위생산량[㎏/10a]","㎏/10a","379","379","500","500","360","360","350","350","333.9","391.4","391.4","400",
"성덕면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"성덕면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"성덕면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"성덕면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","1.2",".9",".9",
"성덕면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","7.4","6.9","5.4",
"성덕면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","616.7","766.7","600",
"진봉면","합계","면적[㏊]","㏊","925","1115","1186","1341","1138","873.2","873.2","873.2","948.2","1344","1350","1351.3",
"진봉면","합계","생산량[M/T]","M/T","4135.2","5058.4","5482.9","5380","5216.8","3479.7","3479.7","3479.7","3940.7","4497.8","4527.1","4546.6",
"진봉면","겉보리","면적[㏊]","㏊","255","84","84","125","320","251","251","251","265","407.9","389","339",
"진봉면","겉보리","생산량[M/T]","M/T","1147.5","378","404.8","500","1472","1172","1172","1172","1325.6","1309.4","1248.7","1118.7",
"진봉면","겉보리","단위생산량[㎏/10a]","㎏/10a","450","450","482","400","460","460","460","460","500.2","321","321","330",
"진봉면","쌀보리","면적[㏊]","㏊","579","960","1090","1200","798","602.2","602.2","602.2","618","906.5","898.5","898.5",
"진봉면","쌀보리","생산량[M/T]","M/T","2605.5","4320","5024.9","4800","3670.8","2233.7","2233.7","2233.7","2387.4","3054.9","3027.9","2965.1",
"진봉면","쌀보리","단위생산량[㎏/10a]","㎏/10a","450","450","461","400","460","460","370","460","386.3","337","337","330",
"진봉면","밀","면적[㏊]","㏊","91","106","12","16","20","20","20","20","65.2","25","58.7","110",
"진봉면","밀","생산량[M/T]","M/T","382.2","360.4","53.2","80","74","74","74","74","227.7","105","223.1","440",
"진봉면","밀","단위생산량[㎏/10a]","㎏/10a","420","340","443","500","370","370","370","370","349.2","380","380","400",
"진봉면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"진봉면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"진봉면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"진봉면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","4.6","3.8","3.8",
"진봉면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","28.5","27.4","22.8",
"진봉면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","597.8","721.1","600",
"금구면","합계","면적[㏊]","㏊","1","15","13.3","-","-","","","","78","13.3","12.3","12.3",
"금구면","합계","생산량[M/T]","M/T","4.5","67.5","60.5","-","-","","","","","45","43.4","42.3",
"금구면","겉보리","면적[㏊]","㏊","","","","-","","","","","","9.5","7.5","7.5",
"금구면","겉보리","생산량[M/T]","M/T","","","","-","","","","","","30.5","24.1","24.8",
"금구면","겉보리","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","","","","321","321","330",
"금구면","쌀보리","면적[㏊]","㏊","1","1",".8","-","","","","","78","1.8","2.4","2.4",
"금구면","쌀보리","생산량[M/T]","M/T","4.5","4.5","3.2","-","","","","","","6.1","8.1","7.9",
"금구면","쌀보리","단위생산량[㎏/10a]","㎏/10a","450","450","380","-","","","","","","337","337","330",
"금구면","밀","면적[㏊]","㏊","","14","12.5","-","","","","","","2","2.4","2.4",
"금구면","밀","생산량[M/T]","M/T","","63","57.3","-","","","","","","8.4","11.3","9.6",
"금구면","밀","단위생산량[㎏/10a]","㎏/10a","","450","410","-","","","","","","470","470","400",
"금구면","맥주보리","면적[㏊]","㏊","","","","","","","","","","","-","0",
"금구면","맥주보리","생산량[M/T]","M/T","","","","","","","","","","","-","0",
