"읍면동별","두류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"검산동","합계","생산량[M/T]","M/T","6.9","6.9","9.5","9.5","9.8","9.8","11","11","169","404.3","109.5",
"검산동","콩","면적[㏊]","㏊","5.1","5.1","7","7","7","7","7","7","65","137.1","33.7",
"검산동","콩","생산량[M/T]","M/T","6.9","6.9","9.5","9.5","9.8","9.8","11","11","169","404.3","109.5",
"검산동","콩","단위생산량[㎏/10a]","㎏/10a","135","135","135","135","140","140","160","160","260","294.9","325",
"검산동","팥","면적[㏊]","㏊","","","","-","","","","","","0","-",
"검산동","팥","생산량[M/T]","M/T","","","","-","","","","","","0","-",
"검산동","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","-","200",
"검산동","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"검산동","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"검산동","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"검산동","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"검산동","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"검산동","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"교월동","합계","면적[㏊]","㏊","12","15.9","20","19","19","10","21","21","76","546.8","236.1",
"교월동","합계","생산량[M/T]","M/T","18","27","30","28.5","28.5","28.5","31.2","31.2","189","1646.3","766.6",
"교월동","콩","면적[㏊]","㏊","12","15.9","20","19","19","10","21","21","76","546.2","235.5",
"교월동","콩","생산량[M/T]","M/T","18","27","30","28.5","28.5","28.5","31.2","31.2","189","1645.2","765.4",
"교월동","콩","단위생산량[㎏/10a]","㎏/10a","150","170","150","150","150","150","150","150","248.7","301.2","325",
"교월동","팥","면적[㏊]","㏊","","","","-","","","","","",".6",".6",
"교월동","팥","생산량[M/T]","M/T","","","","-","","","","","","1.1","1.2",
"교월동","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","183.3","200",
"교월동","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"교월동","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"교월동","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"교월동","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"교월동","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"교월동","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
